ID,Title,Location,Salary,Summary
80737f742d094f1d,데이터  엔지니어,RIDI  Corp  서울,,"에서의  데이터  파이프라인  구축  및  운영  경험  GA,  Tableau  등  외부  분석/시각화  도구에  대한  지식  Python,  Java,  Scala  중  하나  이상을  이용한  개발  경험  추가  정보  지원  서류  안내  제출서류  :  이력..."
269f9a96319ef19a,머신러닝  엔지니어  모집,카카오  4.0  성남  판교역,,"델의  성능  검증  및  지속  개선  대규모  로그  데이터  통계  분석을  통한  피쳐  추출  지원자격  #필수사항  Python,  Java,  C++  등  언어  중  하나  이상  활용  가능하신  분  TensorFlow/Keras,  PyTorch..."
65da831cb9d5a6b5,DGIST  계약직  연구원  및  일반직원  초빙  공고,대구경북과학기술원  대구  현풍면,,"구축  및  생물학  데이터  분석  Tool  개발  및  유지  다양한  프로그래밍(Java,  Perl,  C++,  Python)  우대  사항  관련  분야  석사학위  소지자  유전체,  단백체,  대사체  데이터  분석  유경험자(3년  이상..."
42f92652fb751f47,"웹개발,  JSP  외  경력  정규직",비즈앤테크컨설팅  천안  서북구,,수  있습니다.  인터넷·IT·통신·모바일·게임>웹프로그래머>웹개발|인터넷·IT·통신·모바일·게임>웹프로그래머>JSP|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>  Python
e934bb33ef71dacb,[EY한영]  금융감사본부  Data  Analytics  전문  경력직  모집,Ernst  &  Young  4.0  대한민국,,와  같은  Visualization  Tool  활용  능력  보유자  -  총계정원장조정  경험자  우대  -  Python/R  등  프로그램  언어  활용  능력  보유자  우대  -  AI/RPA/Automation  경험자  우대  *  전형절차...
80dea8b8353c3ee0,System  Engineer,Toss  서울  강남구,,"#  자격  요건  -  Linux  환경에서  대용량  TPS  운영  경험이  있으신  분  -  스크립트  언어(shell,  python,  Perl,  Ruby  등)를  사용하여  인프라  운영이  가능하신  분  -  HTTP,  TCP/IP  프로토콜에  대한..."
80dea8b8353c3ee0,System  Engineer,Toss  서울  강남구,,"#  자격  요건  -  Linux  환경에서  대용량  TPS  운영  경험이  있으신  분  -  스크립트  언어(shell,  python,  Perl,  Ruby  등)를  사용하여  인프라  운영이  가능하신  분  -  HTTP,  TCP/IP  프로토콜에  대한..."
1b62babbbf2d717a,경험최적화  -  데이터  사이언티스트/분석가,Nexon  성남  분당구,,피처  탐색  등)  -  게임  내  행동  패턴  로그  분석과  패턴  식별  및  이를  통한  서비스  개선  지원자격  -  Python을  사용한  데이터  분석  및  모델  개발  경험  -  머신러닝  라이브러리  활용  경험  -  셀프  모티베이션과  원활한...
31c8ae4a133b5147,SW(모바일앱  및  웹개발)  신입/경력  정규직  개발자,더조인  서울  강남구,,통신·모바일·게임>응용프로그래머>Android|인터넷·IT·통신·모바일·게임>응용프로그래머>iOS|인터넷·IT·통신·모바일·게임>응용프로그래머>인공지능(AI)|인터넷·IT·통신·모바일·게임>응용프로그래머>  Python
8becbf73bbda7c96,2019  Military  Service  Exemption  Position...,울산과학기술원  울산  언양읍,,"least  one  programming  language...  Fortran,  C/C++,  Python,  …;  Experience...  managing  high  performance  computational..."
1a75ce748c5f24e9,TOAST  CAM  임베디드  개발,NHN  4.4  성남  판교역,,"또는  석사  학위  또는  그에  준하는  실무  경험자  (신입  지원가능)  -  임베디드  환경에서  영상  처리  경험자  -  Python,  C++  개발  경험  -  딥러닝  프레임워크,  컴퓨터  비젼  경험자  -  Visual  Object..."
ad07d6a330fb619a,NHN  Cloud  운영  및  기술지원,NHN  4.4  성남  판교역,,"Linux,  Microsoft  Solutions  등)  -  2년  이상의  개발  경험  (Java,  Python  등)  -  기술  문서  작성  및  가이드  경험이  풍부한  자  -  대외  고객  기술  지원  경험  -  Windows..."
7a10f3521337083b,"Perception  Engineer,  Deep  Learning  -  Aut...",NVIDIA  서울,,"PyTorch,  etc).  Strong  programming  skills  in  C++...  python.  Outstanding  communication  and  collaboration  skills  as  we..."
115c46e0d1df11d8,[개발자]  모비데이즈  프론트엔드  개발자  경력직  채용,Mobidays  서울특별시,,"험이  있으신  분  -활용  가능한  서버사이드  언어가  1개  이상  있는  분(Ruby,  Java,  Node.js,  Python  등)  -웹/모바일  광고  업계의  유사  업종  근무  경력  보유자  -플랫폼  또는  B2B  서비스  개발  프로젝트  참여..."
98c2229e57d4ee1f,전기전자컴퓨터공학부(바이오컴퓨팅연구실)  위촉연구원,광주과학기술원  광주  북구,,"국가보훈대상자(취업보호대상자)  및  장애인은  관련  법령에  의거하여  우대  ②  컴퓨터  프로그램밍  (Matlab,  Python,  C++등)  가능자  ③  뇌파  측정  및  분석  2년  이상  경력  ➃  딥러닝  기술  개발  경험  결격사유..."
ee7bb11873ae75fa,[던전앤파이터]  리깅TA,네오플  제주도,,"리깅  구조를  설계하고  확장해  나갈수  있으신  분  -  max  script,  python,  mel,  c#  중  한  가지  이상  사용가능하신  분  ※  포트폴리오...  3D툴  사용경험이  있으신  분  -  Python  툴  개발  경험이  있으신  분..."
9e1861e691426a98,Field  AI  Engineer,Graphcore  서울,,"hardware  acceleration  technologies  Experience  with  Python  and  C++...  depth  knowledge  of  computer  architectures,  high..."
448a83d7a5a369c3,인프라  엔지니어,RIDI  Corp  서울,,"키텍처  구성  경험이  있으신  분  Docker,  ECS,  K8S  등  컨테이너  기반의  서비스  운영  경험이  있으신  분  Python,  Node.js,  Typescript,  GO  등  프로그래밍  경험이  있으신  분  우대사항  Docker..."
662beff5f293820b,AR/VR  SDK  개발자  모집,카카오  4.0  성남  판교역,,"iOS  및  PC/Web  플랫폼향  API  개발  (C++,  Java/Kotlin,  ObjC/Swift,  Python,  Javascript)  멀티플랫폼  패키징  및  배포시스템  개발,  유지보수  모바일  최적화  및  플랫폼  이슈  대응..."
3df5a5b177224cad,데이터분석  담당  안내,와이티엔플러스  서울  마포구,,터분석고용형태정규직경력사항경력  2년  이상주요업무데이터  분석  담당자격요건  Python  스크립트  활용  분석  능력데이터  분석을  통한  인사이트  및  서비스  개선...  게임>빅데이터·AI(인공지능)>  Python|인터넷·IT·통신·모바일·게임...
166aa0c72e94a266,Business  Data  Analyst,Soomgo  서울  강남구,,"즈니스에  적용하고  개선한  경험  (Google  Optimize,  Optimizely,  등)  우대사항  •  Python  또는  R  을  사용하여  데이터  분석에  활용  가능  •  경영학,  통계학,  경제학,  data  analysis  등..."
dddfaf1f05be5c54,(주)아이옵스  항공우주분야,아이옵스  대전  유성구,,궤도역학[우대사항]ㆍ정보처리기사  등  관련  자격증  소지자  ㆍ인공위성  궤도분석  및  비행역학  유경험자ㆍC/C++/  Python  활용  가능자ㆍ영어  가능자  0  명  근무조건  고용형태  :  정규직(수습기간3개월)급여조건  :  급여  협의근무지역...
85cf43a0e2418138,웹  플랫폼  개발자,Nexon  성남  분당구,,"개발  및  운영  지원자격  -  경력에  준하는  웹  개발  기본  지식을  보유  하신  분  -  웹언어  (Java,  Python,  C#,  PHP  등)을  이용한  Back-End  개발  경력이  3년  이상  또는  그에  준하는  능력을  보유하신  분..."
d13fce11058e6cf1,보안  모니터링  시스템  개발  및  운영  담당자  모집,카카오  4.0  성남  판교역,,"이터  분석을  위한  SIEM/ETL  플랫폼  개발/운영  지원자격  기본사항  경력  3년  이상  Java,  Python  등의  언어로  개발  가능자  기본적인  웹  개발  및  Back-End  개발  가능자  DBMS  혹은  빅데이터(NoSQL..."
20d40ee61adffeca,챗봇  및  상담  플랫폼  서버  개발자  모집,카카오  4.0  성남  판교역,,"담시스템  코어  서버  개발  (kotlin/spring)  QA  시스템  백엔드  서버  개발  (java/spring,  python/flask)  챗봇  및  상담  통계  시스템  개발  (scala/spark)  위의  업무  중  하나에  참여하게..."
e0e37aaebc73dde3,지표구축,아프리카TV  경기도  성남,,"대시보드  플랫폼의  활용이  가능하신분  -  새로운  서비스  출시후  모니터링이나  트랜드  확인이  가능하도록  설계나  지원이  가능하신분  -  SQL,Excel,R,  Python  등을  이용하여  데이터  추출  또는  분석이  가능하신  분"
51968ccd6c40b188,대기업  빅데이터  분석  전문가,국내  대기업  /  화물  운송업  /  조단위  이상  매출  기업  서울  중구,,"서비스  분석  경험자  우대  •  요구조건  -  대용량  DBMS  처리  -  분석  지원  언어/패키지(SQL/SAS/R/  Python/Spark)  사용가능자  또는  자격증  보유자  -  빅데이터  Tool  (Hadoop,  Hive,  Hbase..."
89c0e2c49f4655a4,Deep  Learning  Model  Efficiency  Engineer,Qualcomm  Korea  YH  서울,,"suitable  for  machine  learning  (e.g.,  Python,  R,  C,  C++).  ,1+  years  of  experience...  Optimization,  Python,  Statistics..."
e29ab2210c23b65f,[진행중]  우리은행  빅데이터사업부  전문직(데이터  사이언티스트(데이터분석가...,우리은행  4.5  서울  회현동,,ML/DL  기술을  활용한  분석모델  개발  및  서비스를  적용해  본  경험이  있는자  -  데이터  분석을  위한  언어(  Python/R)를  하나  이상  능숙하게  다룰  수  있는자  우대사항  -  금융분야  ML/DL  관련  업무  경력  2년...
ceb8243bc8ae3c35,[데이터  플랫폼]데이터  엔지니어  (전문연구요원  가능),버즈니  서울,,및  유지보수  이런  분을  찾습니다  관련  업무  경력  최소  3년  이상  있으신  분  (전문연구요원의  경우  경력  무관)  Python  및  기반  데이터  플랫폼  개발  경험이  있으신  분  Docker(Contatiner)  기반  시스템  환경  구축...
63b70f5e0e6f2949,기판소재사업부  DX(Digital  Transformation)  경력사원,LG이노텍  4.1  경상북도  구미,,"Transformation)  업무  수행  -  사업부  공장자동화,  업무효율화  대응  -  프로그램  개발/운영(  Python,  Java,  C/C++  유경험자)  -  RPA(Robotic  Process  Automation)  유경험자..."
5b2574aec8e1d083,딥러닝  개발자  정규직,바이오에이아이  서울  강남구,,"라우드  기반  인프라  활용  -  데이터  수집,  전처리,  통합  자격  조건  -  데이터,  딥러닝  분야에  대한  이해  -  Python  코딩능력  -  리눅스  사용  경험  우대  사항  -  영어  리딩  능력  -  의약분야  프로젝트  경험  -  플랫폼개발에..."
71de860185964aef,[지능형인프라관리팀]  서버  자산정보  개발  담당자,심플렉스  서울  동작구,,"관리  담당자의  일부  백업  역할  수행  자격요건  -  1  ~  3년  경력  -  Php,  Javascript,  Python  언어  개발  경력  -  Mysql(Mariadb),  PostgreSQL  사용  경험  -  Linux  서버의  이해  및..."
a3a65a4d59061430,위시켓과  함께할  서버개발자님,위시켓  서울  강남구,,"를  활용한  정적  페이지  연계  -  Docker,  Jenkins  등을  활용한  CI/CD  개선  자격조건  -  Python  기반의  프레임워크를  이용한  웹서비스  구축  또는  운영  경험  -  Django  기반의  웹  서비스  구축  또는  운영..."
